"distribution","sample_size","replications","method","global_ise","global_squared_bias","global_variance","left_ise","left_squared_bias","left_variance","right_ise","right_squared_bias","right_variance","lower_accuracy","upper_accuracy","lower_finite_rate","upper_finite_rate","minimum_density","maximum_mass_error"
"uniform",100,100,"kde-current",0.0395679608211775,0.000660315183665581,0.0389076456375119,0.0147140524945475,0.000353115726237842,0.0143609367683097,0.0119536069470872,7.93565361068368e-05,0.0118742504109804,NA,NA,NA,NA,0,1.11022302462516e-16
"uniform",100,100,"single-95",0.0349551478183599,0.00096855258259265,0.0339865952357673,0.0119457705109792,0.000482444078260364,0.0114633264327188,0.0102912035338974,0.000305160231532077,0.00998604330236527,0.65,0.7,0.65,0.7,0,1.11022302462516e-16
"uniform",100,100,"single-1.5-95",0.0351633913177871,0.000761433247192275,0.0344019580705948,0.012279634075376,0.000348221453612649,0.0119314126217634,0.0101504943845229,0.000232186903384519,0.00991830748113841,0.65,0.7,0.65,0.7,0,1.11022302462516e-16
"uniform",100,100,"single-2-95",0.0349793140593923,0.000738228342999683,0.0342410857163926,0.0118474696512444,0.000350856077199829,0.0114966135740446,0.0103898593304783,0.000205771048124749,0.0101840882823535,0.67,0.73,0.67,0.73,0,2.22044604925031e-16
"uniform",100,100,"median-90",0.0338757899115898,0.000435282615478925,0.0334405072961109,0.011397903010171,0.000210110326641735,0.0111877926835293,0.00966537216799255,3.69414920130523e-05,0.0096284306759795,0.79,0.79,0.79,0.79,0,1.11022302462516e-16
"uniform",100,100,"vote-90",0.0338757899115898,0.000435282615478925,0.0334405072961109,0.011397903010171,0.000210110326641735,0.0111877926835293,0.00966537216799255,3.69414920130523e-05,0.0096284306759795,0.79,0.79,0.79,0.79,0,1.11022302462516e-16
"uniform",100,100,"vote-95",0.0318854637679857,0.000444412789471119,0.0314410509785145,0.010832802032572,0.000206756505177359,0.0106260455273946,0.00823194765557557,5.0710003529682e-05,0.00818123765204589,0.87,0.9,0.87,0.9,0,1.11022302462516e-16
"uniform",1000,100,"kde-current",0.00458911943386039,0.000123195088823585,0.00446592434503681,0.00166683029146066,6.92227494859114e-05,0.00159760754197475,0.00159673304722858,9.62432316008856e-06,0.0015871087240685,NA,NA,NA,NA,6.32797475579434e-09,2.22044604925031e-16
"uniform",1000,100,"single-95",0.00379607956960838,0.000130996098302809,0.00366508347130558,0.0012843866686856,4.22612830929953e-05,0.00124212538559261,0.00120052007613777,5.1345594302538e-05,0.00114917448183523,0.74,0.7,0.74,0.7,6.33057767207451e-09,2.22044604925031e-16
"uniform",1000,100,"single-1.5-95",0.00381767885835155,0.00012084718079626,0.00369683167755529,0.00127592738886872,3.27515762536521e-05,0.00124317581261507,0.00122912103360067,5.05283620314296e-05,0.00117859267156924,0.82,0.69,0.82,0.69,1.93936477529325e-05,2.22044604925031e-16
"uniform",1000,100,"single-2-95",0.00381184942018333,9.90963734823122e-05,0.00371275304670102,0.00130522324074235,3.29075871114687e-05,0.00127231565363089,0.00118972143822462,2.83245258226514e-05,0.00116139691240197,0.78,0.75,0.78,0.75,1.93936477529325e-05,2.22044604925031e-16
"uniform",1000,100,"median-90",0.0037637571051833,7.23407522910959e-05,0.0036914163528922,0.00127012675606472,2.79819544724081e-05,0.00124214480159231,0.0011777664292238,4.68625980623549e-06,0.00117308016941756,0.84,0.84,0.84,0.84,6.33057767207451e-09,2.22044604925031e-16
"uniform",1000,100,"vote-90",0.0037637571051833,7.23407522910959e-05,0.0036914163528922,0.00127012675606472,2.79819544724081e-05,0.00124214480159231,0.0011777664292238,4.68625980623549e-06,0.00117308016941756,0.84,0.84,0.84,0.84,6.33057767207451e-09,2.22044604925031e-16
"uniform",1000,100,"vote-95",0.00362762827836124,7.16661316866633e-05,0.00355596214667458,0.00120149079406307,2.56391144121468e-05,0.00117585167965092,0.00110939276034633,6.92558501454552e-06,0.00110246717533179,0.91,0.9,0.91,0.9,6.33057767207451e-09,2.22044604925031e-16
"uniform",2000,100,"kde-current",0.00222178056987251,6.21791105355296e-05,0.00215960145933698,0.000768223716127646,2.96354139538484e-05,0.000738588302173798,0.000849021464606157,2.40080442937546e-05,0.000825013420312402,NA,NA,NA,NA,0.00041306652255468,1.11022302462516e-16
"uniform",2000,100,"single-95",0.00182951975894074,2.90388099639102e-05,0.00180048094897683,0.000562771588628805,1.08061577264253e-05,0.00055196543090238,0.000664099182943261,9.85263060748603e-06,0.000654246552335775,0.81,0.79,0.81,0.79,0.000427940598708137,1.11022302462516e-16
"uniform",2000,100,"single-1.5-95",0.00187194506155839,1.90093424679686e-05,0.00185293571909043,0.000600490360408868,5.22292067570678e-06,0.000595267439733161,0.000669679998506429,5.52531321147942e-06,0.00066415468529495,0.83,0.84,0.83,0.84,0.000427940598708137,1.11022302462516e-16
"uniform",2000,100,"single-2-95",0.00180757806700822,2.34784277748362e-05,0.00178409963923338,0.000541100385218893,8.4533907650244e-06,0.000532646994453868,0.000664183635669372,6.68871426274667e-06,0.000657494921406625,0.88,0.84,0.88,0.84,0.000427940598708137,1.11022302462516e-16
"uniform",2000,100,"median-90",0.00187888201249991,1.88665212566633e-05,0.00186001549124325,0.000564349997872153,5.29231814880099e-06,0.000559057679723352,0.000710664021296797,5.35257580931804e-06,0.000705311445487479,0.91,0.8,0.91,0.8,0.000427940598708137,1.11022302462516e-16
"uniform",2000,100,"vote-90",0.00187888201249991,1.88665212566633e-05,0.00186001549124325,0.000564349997872153,5.29231814880099e-06,0.000559057679723352,0.000710664021296797,5.35257580931804e-06,0.000705311445487479,0.91,0.8,0.91,0.8,0.000427940598708137,1.11022302462516e-16
"uniform",2000,100,"vote-95",0.00175012124004211,1.88458399207556e-05,0.00173127540012135,0.000543857025510756,5.57575581703163e-06,0.000538281269693724,0.00060376351646917,5.03215654702641e-06,0.000598731359922143,0.93,0.92,0.93,0.92,0.000427940598708137,1.11022302462516e-16
"beta-1-2",100,100,"kde-current",0.0452169408150938,0.000354970969907924,0.0448619698451858,0.0306893049739044,0.00014262362515346,0.0305466813487509,0.000611637781132187,6.38147426040877e-06,0.000605256306871778,NA,NA,NA,NA,0,1.11022302462516e-16
"beta-1-2",100,100,"single-95",0.0381578421479701,0.000645417448081303,0.0375124246998888,0.02355364871879,0.000457175981001329,0.0230964727377887,0.000768062583551767,1.92362063564655e-05,0.000748826377195302,0.67,0.51,0.67,0.49,0,2.22044604925031e-16
